20230413	20:12:01	4a3cad5f-285e-4d77-ba0d-69e4a3c7594e	/new-page.html	GET
20230413	20:15:12	7a3cc98c-2e0b-401a-bcda-8b2919402c8e	/new-page	GET
20230413	23:53:51	5def39da-7c5d-4136-aa56-c8f0c45801a5	GET	undefined	/
20230413	23:54:16	0887344b-af4a-49b9-98f0-98b2de38b825	GET	undefined	/dave
20230413	23:54:16	58cf5b07-dd67-4ed1-85b6-432e72602447	GET	undefined	/favicon.ico
20230413	23:55:23	cef888b0-3e99-41b3-ad2e-42a43046800b	GET	undefined	/new-page.html
20230415	14:56:27	3ca43c84-782d-4303-9a60-d52bafaedd6c	GET	undefined	/
20230415	14:57:18	eaefa478-1e66-4417-af43-146fd9ebb33d	GET	undefined	/employees
20230415	14:59:19	65b66676-ffd0-4c4b-8f42-84f2c820fac1	POST	undefined	/employees
20230415	15:00:15	ecae1c05-dc34-4430-a44e-4f63ff026ccd	POST	undefined	/employees
20230415	15:00:46	7e8eaf59-a2a3-4cdb-b40c-bbc2017dffc7	PUT	undefined	/employees
20230415	15:01:43	d199fcca-5d77-463a-a443-9ba709a5adc4	GET	undefined	/employees/1
